,title,text,clean_text
81,"11.5.2.6 contingent response strategies
","some responses are designed for use only if certain events occur. for some risks, it is appropriate for the project
team to make a response plan that will only be executed under certain predefined conditions, if it is believed that
there will be sufficient warning to implement the plan. events that trigger the contingency response, such as missing
intermediate milestones or gaining higher priority with a seller, should be defined and tracked. risk responses
identified using this technique are often called contingency plans or fallback plans and include identified triggering
events that set the plans in effect.
","some response be design for use only if certain event occur . for some risk , it be appropriate for the projectteam to make a response plan that will only be execute under certain predefined condition , if it be believe thatthere will be sufficient warning to implement the plan . event that trigger the contingency response , such a missingintermediate milestone or gain high priority with a seller , should be define and track . risk responsesidentified use this technique be often call contingency plan or fallback plan and include identify triggeringevents that set the plan in effect ."
82,"11.5.2.7 strategies for overall project risk
","risk responses should be planned and implemented not only for individual project risks but also to address overall
project risk. the same risk response strategies that are used to deal with individual project risks can also be applied to
overall project risk:
@ avoid. where the level of overall project risk is significantly negative and outside the agreed-upon risk
thresholds for the project, an avoid strategy may be adopted. this involves taking focused action to reduce
the negative effect of uncertainty on the project as a whole and bring the project back within the thresholds.
an example of avoidance at the overall project level would include removal of high-risk elements of scope
from the project. where it is not possible to bring the project back within the thresholds, the project may be
canceled. this represents the most extreme degree of risk avoidance and it should be used only if the overall
level of threat is, and will remain, unacceptable.
@ exploit. where the level of overall project risk is significantly positive and outside the agreed-upon risk thresholds
for the project, an exploit strategy may be adopted. this involves taking focused action to capture the positive
effect of uncertainty on the project as a whole. an example of exploiting at the overall project level would include
addition of high-benefit elements of scope to the project to add value or benefits to stakeholders. alternatively
the risk thresholds for the project may be modified with the agreement of key stakeholders in order to embrace
the opportunity.
@ transfer/share. if the level of overall project risk is high but the organization is unable to address it effectively,
a third party may be involved to manage the risk on behalf of the organization. where overall project risk is
negative, a transfer strategy is required, which may involve payment of a risk premium. in the case of high
positive overall project risk, ownership may be shared in order to reap the associated benefits. examples of
both transfer and share strategies for overall project risk include but are not limited to setting up a collaborative
business structure in which the buyer and the seller share the overall project risk, launching a joint venture or
special-purpose company, or subcontracting key elements of the project.
@ Mitigate/enhance. These strategies involve changing the level of overall project risk to optimize the chances
of achieving the project’s objectives. The mitigation strategy is used where overall project risk is negative, anc
enhancement applies when it is positive. Examples of mitigation or enhancement strategies include replanninc
the project, changing the scope and boundaries of the project, modifying project priority, changing resource
allocations, adjusting delivery times, etc.
@ Accept. Where no proactive risk response strategy is possible to address overall project risk, the organizatio
may choose to continue with the project as currently defined, even if overall project risk is outside the agreec
upon thresholds. Acceptance can be either active or passive. The most common active acceptance strategy i
to establish an overall contingency reserve for the project, including amounts of time, money, or resources to b
used if the project exceeds its thresholds. Passive acceptance involves no proactive action apart from periodi
review of the level of overall project risk to ensure that it does not change significantly.
","risk response should be plan and implement not only for individual project risk but also to address overallproject risk . the same risk response strategy that be use to deal with individual project risk can also be apply tooverall project risk : avoid . where the level of overall project risk be significantly negative and outside the agreed-upon riskthresholds for the project , an avoid strategy may be adopt . this involve take focused action to reducethe negative effect of uncertainty on the project a a whole and bring the project back within the thresholds.an example of avoidance at the overall project level would include removal of high-risk element of scopefrom the project . where it be not possible to bring the project back within the threshold , the project may becanceled . this represent the most extreme degree of risk avoidance and it should be use only if the overalllevel of threat be , and will remain , unacceptable . exploit . where the level of overall project risk be significantly positive and outside the agreed-upon risk thresholdsfor the project , an exploit strategy may be adopt . this involve take focused action to capture the positiveeffect of uncertainty on the project a a whole . an example of exploit at the overall project level would includeaddition of high-benefit element of scope to the project to add value or benefit to stakeholder . alternativelythe risk threshold for the project may be modify with the agreement of key stakeholder in order to embracethe opportunity . transfer/share . if the level of overall project risk be high but the organization be unable to address it effectively , a third party may be involve to manage the risk on behalf of the organization . where overall project risk isnegative , a transfer strategy be require , which may involve payment of a risk premium . in the case of highpositive overall project risk , ownership may be share in order to reap the associated benefit . example ofboth transfer and share strategy for overall project risk include but be not limit to set up a collaborativebusiness structure in which the buyer and the seller share the overall project risk , launch a joint venture orspecial-purpose company , or subcontract key element of the project . mitigate/enhance . these strategy involve change the level of overall project risk to optimize the chancesof achieve the project ’ s objective . the mitigation strategy be use where overall project risk be negative , ancenhancement applies when it be positive . example of mitigation or enhancement strategy include replannincthe project , change the scope and boundary of the project , modify project priority , change resourceallocations , adjust delivery time , etc . accept . where no proactive risk response strategy be possible to address overall project risk , the organizatiomay choose to continue with the project a currently define , even if overall project risk be outside the agreecupon threshold . acceptance can be either active or passive . the most common active acceptance strategy ito establish an overall contingency reserve for the project , include amount of time , money , or resource to bus if the project exceed it threshold . passive acceptance involve no proactive action apart from periodireview of the level of overall project risk to ensure that it do not change significantly ."
83,"11.5.2.8 data analysis
","@ cost-benefit analysis. if the impact of an individual project risk can be quantified in monetary terms, then the
cost-effectiveness of alternative risk response strategies can be determined using cost-benefit analysis (see
section 8.1.2.3). the ratio of (change in impact level) divided by (implementation cost) gives the cost effectiveness
of the response strategy, with a higher ratio indicating a more effective response.
","cost-benefit analysis . if the impact of an individual project risk can be quantify in monetary term , then thecost-effectiveness of alternative risk response strategy can be determine use cost-benefit analysis ( seesection 8.1.2.3 ) . the ratio of ( change in impact level ) divide by ( implementation cost ) give the cost effectivenessof the response strategy , with a high ratio indicate a more effective response ."
84,"11.5.2.9 decision making
","decision-making techniques that can be used to select a risk response strategy include but are not limited to
multicriteria decision analysis (described in section 8.1.2.4). one or more risk response strategies may be under
consideration. decision-making techniques can help prioritize risk response strategies. multicriteria decision analysis
uses a decision matrix to provide a systematic approach for establishing key decision criteria, evaluating and ranking
alternatives, and selecting a preferred option. criteria for risk response selection may include but are not limited to
cost of response, likely effectiveness of response in changing probability and/or impact, resource availability, timing
constraints (urgency, proximity, and dormancy), level of impact if the risk occurs, effect of response on related risks,
introduction of secondary risks, etc. different strategies may be selected later in the project if the original choice proves
to be ineffective.
","decision-making technique that can be use to select a risk response strategy include but be not limited tomulticriteria decision analysis ( describe in section 8.1.2.4 ) . one or more risk response strategy may be underconsideration . decision-making technique can help prioritize risk response strategy . multicriteria decision analysisuses a decision matrix to provide a systematic approach for establish key decision criterion , evaluate and rankingalternatives , and select a preferred option . criterion for risk response selection may include but be not limited tocost of response , likely effectiveness of response in change probability and/or impact , resource availability , timingconstraints ( urgency , proximity , and dormancy ) , level of impact if the risk occur , effect of response on related risk , introduction of secondary risk , etc . different strategy may be select later in the project if the original choice provesto be ineffective ."
85,"11.5.3 plan risk responses: outputs
",,
86,"11.5.3.1 change requests
","described in section 4.3.3.4. planned risk responses may result in a change request to the cost and schedul
baselines or other components of the project management plan. change requests are processed for review ani
disposition through the perform integrated change control process (section 4.6).
",describe in section 4.3.3.4. plan risk response may result in a change request to the cost and schedulbaselines or other component of the project management plan . change request be process for review anidisposition through the perform integrated change control process ( section 4.6 ) .
87,"11.5.3.2 project management plan updates
","fe ee ror re rs nn, lse gry ere re

any change to the project management plan goes through the organization’s change control process via a change
request. components that may require a change request for the project management plan include but are not limited to:
@ cost management plan. described in section 7.1.3.1. changes to the cost management plan, such as changes
to cost accounting, tracking, and reports, as well as updates to the budget strategy and how contingency reserves
are consumed, are incorporated.
@ quality management plan. described in section 8.1.3.1. changes to the quality management plan, such as
changes to approaches for meeting requirements, quality management approaches, or quality control processes,
are incorporated.
@ scope baseline. described in section 5.4.3.1. changes in the scope baseline are incorporated in respon:
approved changes in scope that may arise from agreed-upon risk responses.
@ schedule baseline. described in section 6.5.3.1. changes in the schedule baseline are incorporated in response
to approved changes in schedule estimates that may arise from agreed-upon risk responses.
@ cost baseline. described in section 7.3.3.1. changes in the cost baseline are incorporated in re
approved changes in cost estimates that may arise from agreed-upon risk responses.
","fe ee ror re r nn , lse gry ere reany change to the project management plan go through the organization ’ s change control process via a changerequest . component that may require a change request for the project management plan include but be not limit to : cost management plan . describe in section 7.1.3.1. change to the cost management plan , such a changesto cost accounting , track , and report , as well a update to the budget strategy and how contingency reservesare consume , be incorporate . quality management plan . describe in section 8.1.3.1. change to the quality management plan , such aschanges to approach for meeting requirement , quality management approach , or quality control process , be incorporate . scope baseline . describe in section 5.4.3.1. change in the scope baseline be incorporate in respon : approve change in scope that may arise from agreed-upon risk response . schedule baseline . describe in section 6.5.3.1. change in the schedule baseline be incorporate in responseto approve change in schedule estimate that may arise from agreed-upon risk response . cost baseline . describe in section 7.3.3.1. change in the cost baseline be incorporate in reapproved change in cost estimate that may arise from agreed-upon risk response ."
88,"11.5.3.3 project documents updates
","@ assumption log. described in section 4.1.3.2. during the plan risk responses process, new assumptions
may be made, new constraints may be identified, and existing assumptions or constraints may be revisited and
changed. the assumption log should be updated with this new information.
@ cost forecasts. described in section 7.4.3.2. cost forecasts may change as a result of planned risk responses.
- lessons learned register. described in section 4.4.3.1. the lessons learned register is updated with information
about risk responses that may be useful for future phases of the project or future projects.
@ project team assignments. described in section 9.3.3.2. once the responses are confirmed, the necessar
resources should be allocated to each action associated with a risk response plan. these resources include suitabl
qualified and experienced personnel to execute the agreed-upon action (usually within the project team) a specifi
budget and time allowance for the action, and any required technical resources to complete the action.
@ risk register. described in section 11.2.3.1. the risk register is updated when appropriate risk |
chosen and agreed upon. updates to the risk register may include but are not limited to:
ww mick poyiolce, voouiivou tt oouuutl t1.2.0.1. tio thor poyiouc! lo upuglou which! gvviumiialg tok tgop!
chosen and agreed upon. updates to the risk register may include but are not limited to:

agreed-upon response strategies;

specific actions to implement the chosen response strategy;

trigger conditions, symptoms, and warning signs of a risk occurrence;

budget and schedule activities required to implement the chosen responses;

contingency plans and risk triggers that call for their execution;

fallback plans for use when a risk that has occurred and the primary response proves to be inadec

residual risks that are expected to remain after planned responses have been taken, as well as t
have been deliberately accepted; and

m secondary risks that arise as a direct outcome of implementing a risk response.

@ risk report. described in section 11.2.3.2. the risk report may be updated to present agreed-upon r
@ risk report. described in section 11.2.3.2. the risk report may be updated to present agreed-upon responses
to the current overall project risk exposure and high-priority risks, together with the expected changes that may
be expected as a result of implementing these responses.
","assumption log . describe in section 4.1.3.2. during the plan risk response process , new assumptionsmay be make , new constraint may be identify , and exist assumption or constraint may be revisit andchanged . the assumption log should be update with this new information . cost forecast . describe in section 7.4.3.2. cost forecast may change a a result of plan risk responses.- lesson learn register . describe in section 4.4.3.1. the lesson learn register be update with informationabout risk response that may be useful for future phase of the project or future project . project team assignment . describe in section 9.3.3.2. once the response be confirm , the necessarresources should be allocate to each action associate with a risk response plan . these resource include suitablqualified and experienced personnel to execute the agreed-upon action ( usually within the project team ) a specifibudget and time allowance for the action , and any required technical resource to complete the action . risk register . describe in section 11.2.3.1. the risk register be update when appropriate risk |chosen and agree upon . update to the risk register may include but be not limit to : ww mick poyiolce , voouiivou tt oouuutl t1.2.0.1 . tio thor poyiouc ! lo upuglou which ! gvviumiialg tok tgop ! chosen and agree upon . update to the risk register may include but be not limit to : agreed-upon response strategy ; specific action to implement the chosen response strategy ; trigger condition , symptom , and warn sign of a risk occurrence ; budget and schedule activity require to implement the chosen responses ; contingency plan and risk trigger that call for their execution ; fallback plan for use when a risk that have occur and the primary response prove to be inadecresidual risk that be expect to remain after planned response have be take , as well a thave be deliberately accept ; andm secondary risk that arise a a direct outcome of implement a risk response . risk report . describe in section 11.2.3.2. the risk report may be update to present agreed-upon r risk report . describe in section 11.2.3.2. the risk report may be update to present agreed-upon responsesto the current overall project risk exposure and high-priority risk , together with the expect change that maybe expect a a result of implement these response ."
89,"11.6 implement risk responses
","implement risk responses is the process of implementing agreed-upon risk response plans. the key benefit
this process is that it ensures that agreed-upon risk responses are executed as planned in order to address over
project risk exposure, minimize individual project threats, and maximize individual project opportunities. this process
performed throughout the project. the inputs, tools and techniques, and outputs of the process are depicted in figu
11-18. figure 11-19 depicts the data flow diagram for the process.
figure 11-18. implement risk responses: inputs, tools & techniques, and outputs
figure 11-19. implement risk responses: data flow diagram
Proper attention to the Implement Risk Responses process will ensure that agreed-upon risk responses are actually
executed. A common problem with Project Risk Management is that project teams spend effort in identifying and
analyzing risks and developing risk responses, then risk responses are agreed upon and documented in the risk register
and risk report, but no action is taken to manage the risk.
","implement risk response be the process of implement agreed-upon risk response plan . the key benefitthis process be that it ensure that agreed-upon risk response be execute a plan in order to address overproject risk exposure , minimize individual project threat , and maximize individual project opportunity . this processperformed throughout the project . the input , tool and technique , and output of the process be depict in figu11-18 . figure 11-19 depict the data flow diagram for the process.figure 11-18. implement risk response : input , tool & technique , and outputsfigure 11-19. implement risk response : data flow diagramproper attention to the implement risk response process will ensure that agreed-upon risk response be actuallyexecuted . a common problem with project risk management be that project team spend effort in identify andanalyzing risk and develop risk response , then risk response be agree upon and document in the risk registerand risk report , but no action be take to manage the risk ."
90,"11.6.1 implement risk responses: inputs
",,
91,"11.6.1.1 project management plan
","described in section 4.2.3.1. project management plan components include but are not limited to the risk
management plan. described in section 11.1.3.1, the risk management plan lists the roles and responsibilities of
project team members and other stakeholders for risk management. this information is used when allocating owners
for agreed-upon risk responses. the risk management plan also defines the level of detail for the risk management
methodology for the project. it also specifies risk thresholds for the project based on the risk appetite of key stakeholders,
which define the acceptable target that the implementation of risk responses is required to achieve.
","describe in section 4.2.3.1. project management plan component include but be not limit to the riskmanagement plan . describe in section 11.1.3.1 , the risk management plan list the role and responsibility ofproject team member and other stakeholder for risk management . this information be use when allocate ownersfor agreed-upon risk response . the risk management plan also define the level of detail for the risk managementmethodology for the project . it also specify risk threshold for the project base on the risk appetite of key stakeholder , which define the acceptable target that the implementation of risk response be require to achieve ."
92,"11.6.1.2 project documents
","project documents that can be considered as inputs for this process include but are not limited to:
@ lessons learned register. described in section 4.4.3.1. lessons learned earlier in the project with regard
to implementing risk responses can be applied to later phases in the project to improve the effectiveness
of this process.
@ risk report. described in section 11.2.3.2. the risk report includes an assessment of the current overall project
risk exposure, as well as the agreed-upon risk response strategy. it also describes the major individual project
risks with their planned responses.
","project document that can be consider a input for this process include but be not limit to : lesson learn register . describe in section 4.4.3.1. lesson learn earlier in the project with regardto implement risk response can be apply to later phase in the project to improve the effectivenessof this process . risk report . describe in section 11.2.3.2. the risk report include an assessment of the current overall projectrisk exposure , as well a the agreed-upon risk response strategy . it also describe the major individual projectrisks with their planned response ."
93,"11.6.1.3 organizational process assets
","the organizational process assets that can influence the implement risk responses process include but are not
limited to the lessons learned repository from similar completed projects that indicate the effectiveness of particular
risk responses.
",the organizational process asset that can influence the implement risk response process include but be notlimited to the lesson learn repository from similar complete project that indicate the effectiveness of particularrisk response .
94,"11.6.2 implement risk responses: tools and techniques
",,
95,"11.6.2.1 expert judgment
","described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized
knowledge to validate or modify risk responses if necessary, and decide how to implement them in the most
efficient and effective manner.
","describe in section 4.1.2.1. expertise should be consider from individual or group with specializedknowledge to validate or modify risk response if necessary , and decide how to implement them in the mostefficient and effective manner ."
96,"11.6.2.2 interpersonal and team skills
","interpersonal and team skills that can be used for this process include but are not limited to influencing. some risk
2sponse actions may be owned by people outside the immediate project team or who have other competing demands.
he project manager or person responsible for facilitating the risk process may need to exercise influencing (see
ection 9.5.2.1) to encourage nominated risk owners to take necessary action where required.
",interpersonal and team skill that can be use for this process include but be not limit to influence . some risk2sponse action may be own by people outside the immediate project team or who have other compete demands.he project manager or person responsible for facilitate the risk process may need to exercise influencing ( seeection 9.5.2.1 ) to encourage nominate risk owner to take necessary action where require .
97,"11.6.2.3 project management information system (pmis)
","described in section 4.3.2.2. project management information systems can include schedule, resource, and co
ftware to ensure that agreed-upon risk response plans and their associated activities are integrated into the proje
mngside other project activities.
","describe in section 4.3.2.2. project management information system can include schedule , resource , and coftware to ensure that agreed-upon risk response plan and their associated activity be integrate into the projemngside other project activity ."
98,"11.6.3 implement risk responses: outputs
",,
99,"11.6.3.1 change requests
","described in section 4.3.3.4. implementation of risk responses may result in a change request to the cost and
schedule baselines or other components of the project management plan. change requests are processed for review
and disposition through the perform integrated change control process (section 4.6).
",describe in section 4.3.3.4. implementation of risk response may result in a change request to the cost andschedule baseline or other component of the project management plan . change request be process for reviewand disposition through the perform integrated change control process ( section 4.6 ) .
100,"11.6.3.2 project documents updates
","project documents that may be updated as a result of carrying out this process include but are not limited to:
@ issue log. described in section 4.3.3.3. where issues are identified as part of the implement risk respon:
process, they are recorded in the issue log.
@ lessons learned register. described in section 4.4.3.1. the lessons learned register is updated with information
on challenges encountered when implementing risk responses and how they could have been avoided, as well
as approaches that worked well for implementing risk responses.
@ project team assignments. described in section 9.3.3.2. once the risk responses are confirmed, the necessary
resources should be allocated to each action associated with a risk response plan. these resources include
suitably qualified and experienced personnel to execute the agreed-upon action (usually within the project team),
a specific budget and time allowance for the action, and any required technical resources to complete the action.
@ risk register. described in section 11.2.3.1. the risk register may be updated to reflect any changes to the
previously agreed-upon risk responses for individual project risks that are subsequently made as a result of the
implement risk responses process.
@ risk report. described in section 11.2.3.2. the risk report may be updated to reflect any changes to the
previously agreed-upon risk response to overall project risk exposure that are subsequently made as a result of
the implement risk responses process.
","project document that may be update a a result of carry out this process include but be not limit to : issue log . describe in section 4.3.3.3. where issue be identify a part of the implement risk respon : process , they be record in the issue log . lesson learn register . describe in section 4.4.3.1. the lesson learn register be update with informationon challenge encounter when implement risk response and how they could have be avoid , a wellas approach that work well for implement risk response . project team assignment . describe in section 9.3.3.2. once the risk response be confirm , the necessaryresources should be allocate to each action associate with a risk response plan . these resource includesuitably qualify and experience personnel to execute the agreed-upon action ( usually within the project team ) , a specific budget and time allowance for the action , and any required technical resource to complete the action . risk register . describe in section 11.2.3.1. the risk register may be update to reflect any change to thepreviously agreed-upon risk response for individual project risk that be subsequently make a a result of theimplement risk response process . risk report . describe in section 11.2.3.2. the risk report may be update to reflect any change to thepreviously agreed-upon risk response to overall project risk exposure that be subsequently make a a result ofthe implement risk response process ."
101,"11.7 monitor risks
","monitor risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identified
risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project. the key
benefit of this process is that it enables project decisions to be based on current information about overall project risk
exposure and individual project risks. this process is performed throughout the project. the inputs, tools and techniques,
and outputs of the process are depicted in figure 11-20. figure 11-21 depicts the data flow diagram for the process.
figure 11-20. monitor risks: inputs, tools & techniques, and output:
Figure 11-21. Monitor Risks: Data Flow Diagram
In order to ensure that the project team and key stakeholders are aware of the current level of risk exposure, project
work should be continuously monitored for new, changing, and outdated individual project risks and for changes in
the level of overall project risk by applying the Monitor Risks process. The Monitor Risks process uses performance
information generated during project execution to determine if:
Information generated during project execution to determine If:
@ Implemented risk responses are effective,
@ Level of overall project risk has changed,
@ Status of identified individual project risks has changed,
@ New individual project risks have arisen,
@ Risk management approach is still appropriate,
@ Project assumptions are still valid,
@ Risk management policies and procedures are being followed,
@ Contingency reserves for cost or schedule require modification, anc

@ Project strategy is still valid.
","monitor risk be the process of monitor the implementation of agreed-upon risk response plan , track identifiedrisks , identify and analyze new risk , and evaluate risk process effectiveness throughout the project . the keybenefit of this process be that it enable project decision to be base on current information about overall project riskexposure and individual project risk . this process be perform throughout the project . the input , tool and technique , and output of the process be depict in figure 11-20. figure 11-21 depict the data flow diagram for the process.figure 11-20. monitor risk : input , tool & technique , and output : figure 11-21 . monitor risk : data flow diagramin order to ensure that the project team and key stakeholder be aware of the current level of risk exposure , projectwork should be continuously monitor for new , changing , and outdated individual project risk and for change inthe level of overall project risk by apply the monitor risk process . the monitor risk process use performanceinformation generate during project execution to determine if : information generate during project execution to determine if : implement risk response be effective , level of overall project risk have change , status of identify individual project risk have change , new individual project risk have arise , risk management approach be still appropriate , project assumption be still valid , risk management policy and procedure be be follow , contingency reserve for cost or schedule require modification , anc project strategy be still valid ."
102,"11.7.1 monitor risks: inputs
",,
103,"11.7.1.1 project management plan
","described in section 4.2.3.1. project management plan components include but are not limited to the risk
management plan. described in section 11.3.1.1. the risk management plan provides guidance on how and when
risks should be reviewed, which policies and procedures should be followed, the roles and responsibilities in the
monitoring process. and reporting formats.
","describe in section 4.2.3.1. project management plan component include but be not limit to the riskmanagement plan . describe in section 11.3.1.1. the risk management plan provide guidance on how and whenrisks should be review , which policy and procedure should be follow , the role and responsibility in themonitoring process . and report format ."
104,"11.7.1.2 project documents
","project documents that should be considered as inputs for this process include but are not limited to:
@ risk register. described in section 11.2.3.1. the risk register has key inputs that include identified individual
project risks, risk owners, agreed-upon risk responses, and specific implementation actions. it may also provide
other details including control actions for assessing the effectiveness of response plans, symptoms and warning
signs of risk, residual and secondary risks, and a watch list of low-priority risks.
> risk report. described in section 11.2.3.2. the risk report includes an assessment of the current overall project
risk exposure as well as the agreed-upon risk response strategy. it also describes the major individual risks with
planned responses and risk owners.
","project document that should be consider a input for this process include but be not limit to : risk register . describe in section 11.2.3.1. the risk register have key input that include identified individualproject risk , risk owner , agreed-upon risk response , and specific implementation action . it may also provideother detail include control action for assess the effectiveness of response plan , symptom and warningsigns of risk , residual and secondary risk , and a watch list of low-priority risks. > risk report . describe in section 11.2.3.2. the risk report include an assessment of the current overall projectrisk exposure as well a the agreed-upon risk response strategy . it also describe the major individual risk withplanned response and risk owner ."
105,"11.7.1.3 work performance data
","© ea sss ec

described in section 4.3.3.2. work performance data contains data on project status such as risk response
have been implemented, risks that have occurred, risks that are active and those that have been closed out.
","ea ss ecdescribed in section 4.3.3.2. work performance data contains data on project status such a risk responsehave be implement , risk that have occur , risk that be active and those that have be close out ."
106,"11.7.1.4 work performance reports
","described in section 4 5.3.1. work performance reports provide information from performance measurements t
can be analyzed to provide project work performance information including variance analysis, earned value data, <
forecasting data. this information could be relevant when monitoring performance-related risks.
","describe in section 4 5.3.1. work performance report provide information from performance measurement tcan be analyze to provide project work performance information include variance analysis , earn value data , < forecast data . this information could be relevant when monitor performance-related risk ."
107,"11.7.2 monitor risks: tools and techniques
",,
108,"11.7.2.1 data analysis
","data analysis techniques that can be used for this process include but are not limited to:
@ technical performance analysis. technical performance analysis compares technical accomplishments durin
project execution to the schedule of technical achievement. it requires the definition of objective, quantifiabl
measures of technical performance, which can be used to compare actual results against targets. such technice
performance measures may include weight, transaction times, number of delivered defects, storage capacity
etc. deviation can indicate the potential impact of threats or opportunities.
@ reserve analysis. described in section 7.2.2.6. throughout execution of the project, some individual project
risks may occur with positive or negative impacts on budget or schedule contingency reserves. reserve analysis
compares the amount of the contingency reserves remaining to the amount of risk remaining at any time in the
project in order to determine if the remaining reserve is adequate. this may be communicated using various
graphical representations, including a burndown chart.
","data analysis technique that can be use for this process include but be not limit to : technical performance analysis . technical performance analysis compare technical accomplishment durinproject execution to the schedule of technical achievement . it require the definition of objective , quantifiablmeasures of technical performance , which can be use to compare actual result against target . such techniceperformance measure may include weight , transaction time , number of delivered defect , storage capacityetc . deviation can indicate the potential impact of threat or opportunity . reserve analysis . describe in section 7.2.2.6. throughout execution of the project , some individual projectrisks may occur with positive or negative impact on budget or schedule contingency reserve . reserve analysiscompares the amount of the contingency reserve remain to the amount of risk remain at any time in theproject in order to determine if the remain reserve be adequate . this may be communicate use variousgraphical representation , include a burndown chart ."
109,"11.7.2.2 audits
","described in section 8.2.2.5. risk audits are a type of audit that may be used to consider the effectiveness of the |
management process. the project manager is responsible for ensuring that risk audits are performed at an appropri
frequency, as defined in the project’s risk management plan. risk audits may be included during routine project rev
meetings or may form part of a risk review meeting, or the team may choose to hold separate risk audit meetings. '
format for the risk audit and its objectives should be clearly defined before the audit is conducted.
","describe in section 8.2.2.5. risk audit be a type of audit that may be use to consider the effectiveness of the |management process . the project manager be responsible for ensure that risk audit be perform at an approprifrequency , a define in the project ’ s risk management plan . risk audit may be include during routine project revmeetings or may form part of a risk review meeting , or the team may choose to hold separate risk audit meeting . 'format for the risk audit and it objective should be clearly define before the audit be conduct ."
110,"11.7.2.3 meetings
","meetings that can be used during this process include but are not limited to risk reviews. risk reviews are scheduled
regularly and should examine and document the effectiveness of risk responses in dealing with overall project risk
and with identified individual project risks. risk reviews may also result in identification of new individual project risks,
(including secondary risks that arise from agreed-upon risk responses), reassessment of current risks, the closing of
risks that are outdated, issues that have arisen as the result of risks that have occurred, and identification of lessons
to be learned for implementation in ongoing phases in the current project or in similar projects in the future. the risk
review may be conducted as part of a periodic project status meeting or a dedicated risk review meeting may be held,
as specified in the risk management plan.
","meeting that can be use during this process include but be not limit to risk review . risk review be scheduledregularly and should examine and document the effectiveness of risk response in deal with overall project riskand with identified individual project risk . risk review may also result in identification of new individual project risk , ( include secondary risk that arise from agreed-upon risk response ) , reassessment of current risk , the closing ofrisks that be outdated , issue that have arise a the result of risk that have occur , and identification of lessonsto be learn for implementation in ongoing phase in the current project or in similar project in the future . the riskreview may be conduct a part of a periodic project status meeting or a dedicate risk review meeting may be hold , a specify in the risk management plan ."
111,"11.7.3 monitor risks: outputs
",,
112,"11.7.3.1 work performance information
","described in section 4.5.1.3. work performance information includes information on how project risk managem
is performing by comparing the individual risks that have occurred with the expectation of how they would occur. t
information indicates the effectiveness of the response planning and response implementation processes.
",describe in section 4.5.1.3. work performance information include information on how project risk managemis perform by compare the individual risk that have occur with the expectation of how they would occur . tinformation indicate the effectiveness of the response planning and response implementation process .
113,"11.7.3.2 change requests
","described in section 4.3.3.4. the monitor risks process may result in a change request to the cost and schedule
baselines or other components of the project management plan. change requests are processed for review and
disposition through the perform integrated change control process (section 4.6).
change requests can include recommended corrective and preventive actions to address the current level
project risk or to address individual project risks.
",describe in section 4.3.3.4. the monitor risk process may result in a change request to the cost and schedulebaselines or other component of the project management plan . change request be process for review anddisposition through the perform integrated change control process ( section 4.6 ) .change request can include recommended corrective and preventive action to address the current levelproject risk or to address individual project risk .
114,"11.7.3.3 project management plan updates
","any change to the project management plan goes through the organization’s change control process via a change
request. this may affect any component of the project management plan.
",any change to the project management plan go through the organization ’ s change control process via a changerequest . this may affect any component of the project management plan .
115,"11.7.3.4 project documents updates
","@ assumption log. described in section 4.1.3.2. during the monitor risks process, new assumptions may be
made, new constraints may be identified, and existing assumptions or constraints may be revisited and changed.
the assumption log is updated with this new information.
@ lessons learned register. described in section 4.4.3.1. the lessons learned register is updated with any
risk-related lessons learned during risk reviews so these can be used on later phases of the project or in
future projects.
@ risk register. described in section 11.2.3.1. the risk register is updated with information on individual project
risks generated during the monitor risks process. this may include adding new risks, updating outdated risks or
risks that were realized, updating risk responses, and so forth.
@ risk report. described in section 11.2.3.2. as new information becomes available through the monitor risks
process, the risk report is updated to reflect the current status of major individual project risks and the current
level of overall project risk. the risk report may also include details of the top individual project risks, agreed-
upon responses and owners, and conclusions and recommendations. it may also include conclusions from risk
audits on the effectiveness of the risk management nrocess.
","assumption log . describe in section 4.1.3.2. during the monitor risk process , new assumption may bemade , new constraint may be identify , and exist assumption or constraint may be revisit and changed.the assumption log be update with this new information . lesson learn register . describe in section 4.4.3.1. the lesson learn register be update with anyrisk-related lesson learn during risk review so these can be use on late phase of the project or infuture project . risk register . describe in section 11.2.3.1. the risk register be update with information on individual projectrisks generate during the monitor risk process . this may include add new risk , update outdated risk orrisks that be realize , update risk response , and so forth . risk report . describe in section 11.2.3.2. a new information become available through the monitor risksprocess , the risk report be update to reflect the current status of major individual project risk and the currentlevel of overall project risk . the risk report may also include detail of the top individual project risk , agreed-upon response and owner , and conclusion and recommendation . it may also include conclusion from riskaudits on the effectiveness of the risk management nrocess ."
